id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,keyPass,qualifier/9/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/10/value,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,assist
2542132939,17,6,1,1,11,25yplfulilqz11lp1qbii7sf3,0,1.1,73.6,2023-05-01T06:55:07.464Z,2023-05-05T13:46:47Z,4242465571,56,Back,4242465655,233,21,4242465573,73,,,,,,,,,,,,,,,,,i60jnxmaywexvys2g0aktdcl,Lee Ki-Je,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542132945,21,6,1,1,11,19auwjswq9camwpb4u14a6tp5,1,98.9,26.4,2023-05-01T06:55:07.464Z,2023-05-01T08:35:09Z,4242465589,56,Center,4242465591,75,,4242465615,233,17,,,,,,,,,,,,,,,,6lfh7umo99gfk2f23jbg6k3ro,Hwang Jae-Won,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542133049,22,1,1,1,38,19auwjswq9camwpb4u14a6tp5,0,99.5,0.5,2023-05-01T06:55:33.992Z,2023-05-05T13:46:50Z,4242466165,56,Center,4242466163,223,,4242466171,212,32.3,4242466159,6,,4242466167,140,96.9,4251674433,72,,4242466173,213,1.7,4242466169,141,47.9,deo8agvy9lyt8xppcisqepxx,Lee Yong-Rae,4242466157,2,,4242466161,155,4242466175,1,,,,,,,,,,,,,,,,,,,,,,,,,
2542133059,18,12,1,1,41,25yplfulilqz11lp1qbii7sf3,1,10.3,57.3,2023-05-01T06:55:37.258Z,2023-05-01T07:01:34Z,4242466245,141,70.9,4242466243,140,25.5,4242466251,15,,4242466241,56,Back,4242466249,213,0.5,4242466247,212,18.4,,,,,,,8ukgcvbovadaix0o0nwv1c5p1,An Byong-Jun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542133069,23,61,1,1,43,19auwjswq9camwpb4u14a6tp5,0,76.8,31.3,2023-05-01T06:55:38.985Z,2023-05-05T13:47:42Z,4242466299,56,Center,,,,,,,,,,,,,,,,,,,,,,6lfh7umo99gfk2f23jbg6k3ro,Hwang Jae-Won,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542133091,19,49,1,1,45,25yplfulilqz11lp1qbii7sf3,1,24.7,82.1,2023-05-01T06:55:41.393Z,2023-05-01T06:55:41Z,,,,,,,,,,,,,,,,,,,,,,,,,634xb3u0uv1nk1t7x5f9ktq09,Rodrigo Bassani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542133095,20,1,1,1,45,25yplfulilqz11lp1qbii7sf3,0,26.8,84.1,2023-05-01T06:55:41.683Z,2023-05-01T06:55:42Z,4242466407,141,76.6,4242466409,212,17.8,4242466403,56,Back,4242466405,140,43.0,4242466411,213,6.0,,,,,,,,,,634xb3u0uv1nk1t7x5f9ktq09,Rodrigo Bassani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542133111,24,49,1,1,46,19auwjswq9camwpb4u14a6tp5,1,59.5,21.5,2023-05-01T06:55:41.992Z,2023-05-05T13:48:26Z,,,,,,,,,,,,,,,,,,,,,,,,,d585rl5n1lyby0pzclz7ywokq,Lee Jin-Yong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542133141,25,1,1,1,47,19auwjswq9camwpb4u14a6tp5,1,59.5,21.5,2023-05-01T06:55:43.450Z,2023-05-05T13:48:27Z,4242466567,141,29.7,4242466569,212,14.6,4242466563,56,Center,4242466571,213,0.4,4242466565,140,72.4,,,,,,,,,,d585rl5n1lyby0pzclz7ywokq,Lee Jin-Yong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542136617,83,50,1,1,50,19auwjswq9camwpb4u14a6tp5,1,64.2,31.3,2023-05-01T06:55:45.943Z,2023-05-01T07:04:39Z,4242485099,286,,4242485097,56,Center,4242485131,233,21,,,,,,,,,,,,,,,,2urtsl9xa0plg4w80nr8z9tuy,Jo Jin-Woo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
